id,date,account_id,currency,spend,pulled_at,platform
09/01/2025 - 1248420030291574,2025-09-01,1248420030291574,AED,51,2025-10-09T14:09:32Z,meta
09/02/2025 - 1248420030291574,2025-09-02,1248420030291574,AED,49,2025-10-09T14:09:32Z,meta
09/03/2025 - 1248420030291574,2025-09-03,1248420030291574,AED,50,2025-10-09T14:09:32Z,meta
09/04/2025 - 1248420030291574,2025-09-04,1248420030291574,AED,45,2025-10-09T14:09:32Z,meta
09/05/2025 - 1248420030291574,2025-09-05,1248420030291574,AED,47,2025-10-09T14:09:32Z,meta
09/06/2025 - 1248420030291574,2025-09-06,1248420030291574,AED,53,2025-10-09T14:09:32Z,meta
09/07/2025 - 1248420030291574,2025-09-07,1248420030291574,AED,55,2025-10-09T14:09:32Z,meta
09/08/2025 - 1248420030291574,2025-09-08,1248420030291574,AED,47,2025-10-09T14:09:32Z,meta
09/09/2025 - 1248420030291574,2025-09-09,1248420030291574,AED,48,2025-10-09T14:09:32Z,meta
09/10/2025 - 1248420030291574,2025-09-10,1248420030291574,AED,100,2025-10-09T14:09:32Z,meta
09/11/2025 - 1248420030291574,2025-09-11,1248420030291574,AED,100,2025-10-09T14:09:32Z,meta
09/12/2025 - 1248420030291574,2025-09-12,1248420030291574,AED,94,2025-10-09T14:09:32Z,meta
09/13/2025 - 1248420030291574,2025-09-13,1248420030291574,AED,100,2025-10-09T14:09:32Z,meta
09/14/2025 - 1248420030291574,2025-09-14,1248420030291574,AED,107,2025-10-09T14:09:32Z,meta
09/15/2025 - 1248420030291574,2025-09-15,1248420030291574,AED,99,2025-10-09T14:09:32Z,meta
09/16/2025 - 1248420030291574,2025-09-16,1248420030291574,AED,101,2025-10-09T14:09:32Z,meta
09/17/2025 - 1248420030291574,2025-09-17,1248420030291574,AED,104,2025-10-09T14:09:32Z,meta
09/18/2025 - 1248420030291574,2025-09-18,1248420030291574,AED,103,2025-10-09T14:09:32Z,meta
09/19/2025 - 1248420030291574,2025-09-19,1248420030291574,AED,89,2025-10-09T14:09:32Z,meta
09/20/2025 - 1248420030291574,2025-09-20,1248420030291574,AED,95,2025-10-09T14:09:32Z,meta
09/21/2025 - 1248420030291574,2025-09-21,1248420030291574,AED,114,2025-10-09T14:09:32Z,meta
09/22/2025 - 1248420030291574,2025-09-22,1248420030291574,AED,106,2025-10-09T14:09:32Z,meta
09/23/2025 - 1248420030291574,2025-09-23,1248420030291574,AED,103,2025-10-09T14:09:32Z,meta
09/24/2025 - 1248420030291574,2025-09-24,1248420030291574,AED,85,2025-10-09T14:09:32Z,meta
09/25/2025 - 1248420030291574,2025-09-25,1248420030291574,AED,67,2025-10-09T14:09:32Z,meta
09/26/2025 - 1248420030291574,2025-09-26,1248420030291574,AED,90,2025-10-09T14:09:32Z,meta
09/27/2025 - 1248420030291574,2025-09-27,1248420030291574,AED,106,2025-10-09T14:09:32Z,meta
09/28/2025 - 1248420030291574,2025-09-28,1248420030291574,AED,108,2025-10-09T14:09:32Z,meta
09/29/2025 - 1248420030291574,2025-09-29,1248420030291574,AED,97,2025-10-09T14:09:32Z,meta
09/30/2025 - 1248420030291574,2025-09-30,1248420030291574,AED,95,2025-10-09T14:09:32Z,meta
10/01/2025 - 1248420030291574,2025-10-01,1248420030291574,AED,98,2025-10-09T14:09:32Z,meta
10/02/2025 - 1248420030291574,2025-10-02,1248420030291574,AED,97,2025-10-09T14:09:32Z,meta
10/03/2025 - 1248420030291574,2025-10-03,1248420030291574,AED,100,2025-10-09T14:09:32Z,meta
10/04/2025 - 1248420030291574,2025-10-04,1248420030291574,AED,104,2025-10-09T14:09:32Z,meta
10/05/2025 - 1248420030291574,2025-10-05,1248420030291574,AED,107,2025-10-09T14:09:32Z,meta
10/06/2025 - 1248420030291574,2025-10-06,1248420030291574,AED,97,2025-10-09T14:09:32Z,meta
10/07/2025 - 1248420030291574,2025-10-07,1248420030291574,AED,99,2025-10-09T14:09:32Z,meta
10/08/2025 - 1248420030291574,2025-10-08,1248420030291574,AED,101,2025-10-09T14:09:32Z,meta
10/09/2025 - 1248420030291574,2025-10-09,1248420030291574,AED,45,2025-10-09T14:09:32Z,meta
09/01/2025 - 500-503-7696,2025-09-01,500-503-7696,AED,270,2025-10-09T14:09:32Z,google_ads
09/02/2025 - 500-503-7696,2025-09-02,500-503-7696,AED,281,2025-10-09T14:09:32Z,google_ads
09/03/2025 - 500-503-7696,2025-09-03,500-503-7696,AED,318,2025-10-09T14:09:32Z,google_ads
09/04/2025 - 500-503-7696,2025-09-04,500-503-7696,AED,316,2025-10-09T14:09:32Z,google_ads
09/05/2025 - 500-503-7696,2025-09-05,500-503-7696,AED,421,2025-10-09T14:09:32Z,google_ads
09/06/2025 - 500-503-7696,2025-09-06,500-503-7696,AED,273,2025-10-09T14:09:32Z,google_ads
09/07/2025 - 500-503-7696,2025-09-07,500-503-7696,AED,506,2025-10-09T14:09:32Z,google_ads
09/08/2025 - 500-503-7696,2025-09-08,500-503-7696,AED,592,2025-10-09T14:09:32Z,google_ads
09/09/2025 - 500-503-7696,2025-09-09,500-503-7696,AED,505,2025-10-09T14:09:32Z,google_ads
09/10/2025 - 500-503-7696,2025-09-10,500-503-7696,AED,553,2025-10-09T14:09:32Z,google_ads
09/11/2025 - 500-503-7696,2025-09-11,500-503-7696,AED,630,2025-10-09T14:09:32Z,google_ads
09/12/2025 - 500-503-7696,2025-09-12,500-503-7696,AED,565,2025-10-09T14:09:32Z,google_ads
09/13/2025 - 500-503-7696,2025-09-13,500-503-7696,AED,476,2025-10-09T14:09:32Z,google_ads
09/14/2025 - 500-503-7696,2025-09-14,500-503-7696,AED,539,2025-10-09T14:09:32Z,google_ads
09/15/2025 - 500-503-7696,2025-09-15,500-503-7696,AED,619,2025-10-09T14:09:32Z,google_ads
09/16/2025 - 500-503-7696,2025-09-16,500-503-7696,AED,541,2025-10-09T14:09:32Z,google_ads
09/17/2025 - 500-503-7696,2025-09-17,500-503-7696,AED,517,2025-10-09T14:09:32Z,google_ads
09/18/2025 - 500-503-7696,2025-09-18,500-503-7696,AED,662,2025-10-09T14:09:32Z,google_ads
09/19/2025 - 500-503-7696,2025-09-19,500-503-7696,AED,763,2025-10-09T14:09:32Z,google_ads
09/20/2025 - 500-503-7696,2025-09-20,500-503-7696,AED,446,2025-10-09T14:09:32Z,google_ads
09/21/2025 - 500-503-7696,2025-09-21,500-503-7696,AED,602,2025-10-09T14:09:32Z,google_ads
09/22/2025 - 500-503-7696,2025-09-22,500-503-7696,AED,634,2025-10-09T14:09:32Z,google_ads
09/23/2025 - 500-503-7696,2025-09-23,500-503-7696,AED,399,2025-10-09T14:09:32Z,google_ads
09/24/2025 - 500-503-7696,2025-09-24,500-503-7696,AED,197,2025-10-09T14:09:32Z,google_ads
09/25/2025 - 500-503-7696,2025-09-25,500-503-7696,AED,617,2025-10-09T14:09:32Z,google_ads
09/26/2025 - 500-503-7696,2025-09-26,500-503-7696,AED,705,2025-10-09T14:09:32Z,google_ads
09/27/2025 - 500-503-7696,2025-09-27,500-503-7696,AED,531,2025-10-09T14:09:32Z,google_ads
09/28/2025 - 500-503-7696,2025-09-28,500-503-7696,AED,650,2025-10-09T14:09:32Z,google_ads
09/29/2025 - 500-503-7696,2025-09-29,500-503-7696,AED,501,2025-10-09T14:09:32Z,google_ads
09/30/2025 - 500-503-7696,2025-09-30,500-503-7696,AED,393,2025-10-09T14:09:32Z,google_ads
10/01/2025 - 500-503-7696,2025-10-01,500-503-7696,AED,361,2025-10-09T14:09:32Z,google_ads
10/02/2025 - 500-503-7696,2025-10-02,500-503-7696,AED,700,2025-10-09T14:09:32Z,google_ads
10/03/2025 - 500-503-7696,2025-10-03,500-503-7696,AED,497,2025-10-09T14:09:32Z,google_ads
10/04/2025 - 500-503-7696,2025-10-04,500-503-7696,AED,512,2025-10-09T14:09:32Z,google_ads
10/05/2025 - 500-503-7696,2025-10-05,500-503-7696,AED,639,2025-10-09T14:09:32Z,google_ads
10/06/2025 - 500-503-7696,2025-10-06,500-503-7696,AED,501,2025-10-09T14:09:32Z,google_ads
10/07/2025 - 500-503-7696,2025-10-07,500-503-7696,AED,436,2025-10-09T14:09:32Z,google_ads
10/08/2025 - 500-503-7696,2025-10-08,500-503-7696,AED,442,2025-10-09T14:09:32Z,google_ads
09/01/2025 - 611216825034251,2025-09-01,611216825034251,AED,2245,2025-10-09T14:09:32Z,meta
09/02/2025 - 611216825034251,2025-09-02,611216825034251,AED,2186,2025-10-09T14:09:32Z,meta
09/03/2025 - 611216825034251,2025-09-03,611216825034251,AED,2141,2025-10-09T14:09:32Z,meta
09/04/2025 - 611216825034251,2025-09-04,611216825034251,AED,2097,2025-10-09T14:09:32Z,meta
09/05/2025 - 611216825034251,2025-09-05,611216825034251,AED,2119,2025-10-09T14:09:32Z,meta
09/06/2025 - 611216825034251,2025-09-06,611216825034251,AED,2087,2025-10-09T14:09:32Z,meta
09/07/2025 - 611216825034251,2025-09-07,611216825034251,AED,2382,2025-10-09T14:09:32Z,meta
09/08/2025 - 611216825034251,2025-09-08,611216825034251,AED,3113,2025-10-09T14:09:32Z,meta
09/09/2025 - 611216825034251,2025-09-09,611216825034251,AED,3125,2025-10-09T14:09:32Z,meta
09/10/2025 - 611216825034251,2025-09-10,611216825034251,AED,3039,2025-10-09T14:09:32Z,meta
09/11/2025 - 611216825034251,2025-09-11,611216825034251,AED,2534,2025-10-09T14:09:32Z,meta
09/12/2025 - 611216825034251,2025-09-12,611216825034251,AED,2445,2025-10-09T14:09:32Z,meta
09/13/2025 - 611216825034251,2025-09-13,611216825034251,AED,2333,2025-10-09T14:09:32Z,meta
09/14/2025 - 611216825034251,2025-09-14,611216825034251,AED,2897,2025-10-09T14:09:32Z,meta
09/15/2025 - 611216825034251,2025-09-15,611216825034251,AED,2543,2025-10-09T14:09:32Z,meta
09/16/2025 - 611216825034251,2025-09-16,611216825034251,AED,2733,2025-10-09T14:09:32Z,meta
09/17/2025 - 611216825034251,2025-09-17,611216825034251,AED,2555,2025-10-09T14:09:32Z,meta
09/18/2025 - 611216825034251,2025-09-18,611216825034251,AED,2494,2025-10-09T14:09:32Z,meta
09/19/2025 - 611216825034251,2025-09-19,611216825034251,AED,2562,2025-10-09T14:09:32Z,meta
09/20/2025 - 611216825034251,2025-09-20,611216825034251,AED,2800,2025-10-09T14:09:32Z,meta
09/21/2025 - 611216825034251,2025-09-21,611216825034251,AED,3303,2025-10-09T14:09:32Z,meta
09/22/2025 - 611216825034251,2025-09-22,611216825034251,AED,3124,2025-10-09T14:09:32Z,meta
09/23/2025 - 611216825034251,2025-09-23,611216825034251,AED,3020,2025-10-09T14:09:32Z,meta
09/24/2025 - 611216825034251,2025-09-24,611216825034251,AED,2690,2025-10-09T14:09:32Z,meta
09/25/2025 - 611216825034251,2025-09-25,611216825034251,AED,1444,2025-10-09T14:09:32Z,meta
09/26/2025 - 611216825034251,2025-09-26,611216825034251,AED,2405,2025-10-09T14:09:32Z,meta
09/27/2025 - 611216825034251,2025-09-27,611216825034251,AED,2244,2025-10-09T14:09:32Z,meta
09/28/2025 - 611216825034251,2025-09-28,611216825034251,AED,2467,2025-10-09T14:09:32Z,meta
09/29/2025 - 611216825034251,2025-09-29,611216825034251,AED,2950,2025-10-09T14:09:32Z,meta
09/30/2025 - 611216825034251,2025-09-30,611216825034251,AED,2943,2025-10-09T14:09:32Z,meta
10/01/2025 - 611216825034251,2025-10-01,611216825034251,AED,2980,2025-10-09T14:09:32Z,meta
10/02/2025 - 611216825034251,2025-10-02,611216825034251,AED,2493,2025-10-09T14:09:32Z,meta
10/03/2025 - 611216825034251,2025-10-03,611216825034251,AED,2567,2025-10-09T14:09:32Z,meta
10/04/2025 - 611216825034251,2025-10-04,611216825034251,AED,2322,2025-10-09T14:09:32Z,meta
10/05/2025 - 611216825034251,2025-10-05,611216825034251,AED,2420,2025-10-09T14:09:32Z,meta
10/06/2025 - 611216825034251,2025-10-06,611216825034251,AED,1773,2025-10-09T14:09:32Z,meta
10/07/2025 - 611216825034251,2025-10-07,611216825034251,AED,1731,2025-10-09T14:09:32Z,meta
10/08/2025 - 611216825034251,2025-10-08,611216825034251,AED,1774,2025-10-09T14:09:32Z,meta
10/09/2025 - 611216825034251,2025-10-09,611216825034251,AED,1009,2025-10-09T14:09:32Z,meta
